date,total,filter,remove,ratio
2021-12-26,23,0,0,0.0
2021-12-28,16,4,0,0.25
2021-12-30,21,3,0,0.14
2022-01-02,18,5,0,0.28
2022-01-08,23,5,0,0.22
2022-01-10,15,2,4,0.13
2022-01-12,21,5,0,0.24
2022-01-14,19,3,0,0.16
2022-01-16,19,0,0,0.0
2022-01-18,29,6,0,0.21
2022-01-20,22,3,0,0.14
2022-01-22,21,3,0,0.14
2022-01-24,24,0,0,0.0
2022-01-26,24,1,0,0.04
2022-01-28,19,1,0,0.05
2022-01-30,19,3,0,0.16
2022-02-02,24,5,0,0.21
2022-02-04,21,5,6,0.24
2022-02-06,24,3,2,0.12
2022-02-08,18,3,3,0.17
2022-02-10,35,9,0,0.26
2022-02-12,29,6,0,0.21
2022-02-14,17,0,1,0.0
2022-02-16,27,5,0,0.19
2022-02-18,25,6,0,0.24
2022-02-20,26,6,3,0.23
2022-02-22,20,1,0,0.05
2022-02-26,17,1,0,0.06
2022-02-28,31,8,0,0.26
2022-03-02,23,8,0,0.35
2022-03-04,17,3,0,0.18
2022-03-06,16,3,2,0.19
2022-03-08,22,4,0,0.18
2022-03-10,31,0,0,0.0
2022-03-12,27,7,0,0.26
2022-03-14,33,7,2,0.21
2022-03-16,20,5,0,0.25
2022-03-18,24,4,0,0.17
2022-03-20,23,4,2,0.17
2022-03-22,18,4,0,0.22
2022-03-24,18,4,0,0.22
2022-03-26,22,6,0,0.27
2022-03-28,18,0,5,0.0
2022-03-30,20,0,0,0.0
2022-04-02,23,4,0,0.17
2022-04-04,46,0,2,0.0
2022-04-06,33,2,0,0.06
2022-04-08,45,6,0,0.13
2022-04-10,37,1,0,0.03
2022-04-12,40,10,0,0.25
2022-04-14,32,5,0,0.16
2022-04-16,29,8,0,0.28
2022-04-18,50,7,0,0.14
2022-04-20,31,5,0,0.16
2022-04-22,54,18,0,0.33
2022-04-24,33,7,4,0.21
2022-04-26,57,6,5,0.11
2022-04-28,39,11,0,0.28
2022-04-30,36,4,0,0.11
2022-05-02,34,2,0,0.06
2022-05-04,49,6,0,0.12
2022-05-06,38,8,0,0.21
2022-05-08,38,0,2,0.0
2022-05-10,31,5,0,0.16
2022-05-12,45,9,1,0.2
2022-05-14,33,7,0,0.21
2022-05-16,30,4,0,0.13
2022-05-18,56,1,2,0.02
2022-05-20,33,10,0,0.3
2022-05-22,40,3,0,0.08
2022-05-24,31,6,0,0.19
2022-05-26,37,2,0,0.05
2022-06-02,39,7,0,0.18
2022-06-04,31,3,4,0.1
2022-06-06,39,9,0,0.23
2022-06-08,34,0,2,0.0
2022-06-10,47,11,0,0.23
2022-06-12,45,13,1,0.29
2022-06-14,47,0,0,0.0
2022-06-16,42,5,0,0.12
2022-06-18,34,0,0,0.0
2022-06-20,28,7,0,0.25
2022-06-22,50,4,0,0.08
2022-06-24,42,10,1,0.24
2022-06-26,41,8,0,0.2
2022-06-28,44,9,4,0.2
2022-06-30,34,8,0,0.24
2022-07-02,36,2,0,0.06
2022-07-04,34,2,0,0.06
2022-07-06,41,3,0,0.07
2022-07-08,40,12,0,0.3
2022-07-10,36,6,0,0.17
2022-07-12,33,6,0,0.18
2022-07-14,30,6,0,0.2
2022-07-16,36,6,0,0.17
2022-07-18,36,12,0,0.33
2022-07-20,42,3,0,0.07
2022-07-22,52,14,0,0.27
2022-07-24,59,11,0,0.19
2022-07-26,41,7,0,0.17
2022-07-28,30,5,1,0.17
2022-07-30,45,0,0,0.0
2022-08-02,43,12,0,0.28
2022-08-04,48,11,0,0.23
2022-08-06,37,6,0,0.16
2022-08-08,48,5,0,0.1
2022-08-10,31,0,0,0.0
2022-08-12,36,3,0,0.08
2022-08-14,38,6,0,0.16
2022-08-16,34,5,0,0.15
2022-08-18,59,1,0,0.02
2022-08-20,40,10,0,0.25
2022-08-22,36,8,0,0.22
2022-08-24,47,10,0,0.21
2022-08-26,46,13,0,0.28
2022-08-28,46,14,0,0.3
2022-08-30,45,9,0,0.2
2022-09-02,57,17,0,0.3
2022-09-04,38,2,0,0.05
2022-09-06,38,6,0,0.16
2022-09-08,40,9,0,0.22
2022-09-10,46,0,3,0.0
2022-09-12,31,4,0,0.13
2022-09-14,32,1,2,0.03
2022-09-16,35,6,0,0.17
2022-09-18,45,12,0,0.27
2022-09-20,41,10,0,0.24
2022-09-22,38,4,0,0.11
2022-09-24,35,0,0,0.0
2022-09-26,38,5,0,0.13
2022-09-28,33,5,0,0.15
2022-09-30,45,5,0,0.11
2022-10-02,45,2,0,0.04
2022-10-04,41,6,0,0.15
2022-10-06,50,13,0,0.26
2022-10-08,36,6,0,0.17
2022-10-10,33,6,0,0.18
2022-10-12,44,11,0,0.25
2022-10-14,31,10,0,0.32
2022-10-16,33,7,0,0.21
2022-10-18,29,4,0,0.14
2022-10-20,26,7,0,0.27
2022-10-22,31,8,0,0.26
2022-10-24,24,8,0,0.33
2022-10-26,28,5,0,0.18
2022-10-28,22,4,0,0.18
2022-10-30,25,6,0,0.24
2022-11-01,21,4,0,0.19
2022-11-03,19,5,0,0.26
2022-11-05,36,10,0,0.28
2022-11-07,34,8,0,0.24
2022-11-09,38,11,0,0.29
2022-11-11,21,4,0,0.19
2022-11-13,28,5,0,0.18
2022-11-15,25,5,0,0.2
2022-11-17,20,4,0,0.2
2022-11-19,20,4,0,0.2
2022-11-21,22,7,0,0.32
2022-11-23,20,4,0,0.2
2022-11-25,17,3,0,0.18
2022-11-27,27,4,0,0.15
2022-11-30,22,4,0,0.18
2022-12-02,21,5,0,0.24
2022-12-04,22,4,0,0.18
2022-12-06,24,8,0,0.33
2022-12-08,20,4,0,0.2
2022-12-10,24,6,0,0.25
2022-12-12,16,3,0,0.19
2022-12-14,19,4,0,0.21
2022-12-16,22,6,0,0.27
2022-12-18,18,3,0,0.17
2022-12-20,22,5,0,0.23
2022-12-22,22,7,0,0.32
2022-12-24,18,4,0,0.22
2022-12-26,25,8,0,0.32
2022-12-28,20,3,0,0.15
2022-12-30,26,4,0,0.15
2023-01-01,16,4,0,0.25
2023-01-03,26,6,0,0.23
2023-01-05,15,3,0,0.2
2023-01-07,25,6,0,0.24
2023-01-09,24,5,0,0.21
2023-01-13,28,7,0,0.25
2023-01-15,36,9,0,0.25
2023-01-17,24,6,0,0.25
2023-01-19,39,7,0,0.18
2023-01-21,35,10,0,0.29
2023-01-23,23,4,0,0.17
2023-01-26,30,5,0,0.17
2023-01-28,28,7,0,0.25
2023-02-01,30,6,0,0.2
2023-02-01,27,8,0,0.3
2023-02-01,31,6,0,0.19
2023-02-01,24,5,0,0.21
2023-02-03,33,8,0,0.24
2023-02-05,28,9,0,0.32
2023-02-07,23,6,0,0.26
2023-02-09,31,7,0,0.23
2023-02-11,36,11,0,0.31
2023-02-13,24,5,0,0.21
2023-02-15,34,11,0,0.32
2023-02-17,24,7,0,0.29
2023-02-19,30,7,0,0.23
2023-02-21,26,7,0,0.27
2023-02-23,38,7,0,0.18
2023-02-25,22,7,0,0.32
2023-02-27,30,10,0,0.33
2023-03-01,31,10,0,0.32
2023-03-03,33,6,0,0.18
2023-03-05,28,9,0,0.32
2023-03-07,34,6,0,0.18
2023-03-09,33,8,0,0.24
2023-03-11,27,5,0,0.19
2023-03-13,30,8,0,0.27
2023-03-16,34,9,0,0.26
2023-03-18,22,4,0,0.18
2023-03-20,34,8,0,0.24
2023-03-22,24,7,0,0.29
2023-03-24,36,10,0,0.28
2023-03-26,26,8,0,0.31
2023-04-02,24,7,0,0.29
2023-04-04,31,9,0,0.29
2023-04-06,32,9,0,0.28
2023-04-12,27,7,0,0.26
2023-04-14,37,10,0,0.27
2023-04-16,25,8,0,0.32
2023-04-18,35,12,0,0.34
2023-04-20,29,8,0,0.28
2023-04-22,22,6,0,0.27
2023-04-24,24,6,0,0.25
2023-04-26,36,11,0,0.31
2023-04-30,24,6,0,0.25
2023-05-02,24,7,0,0.29
2023-05-04,24,5,0,0.21
2023-05-06,25,4,0,0.16
2023-05-08,34,10,0,0.29
2023-05-10,28,6,0,0.21
2023-05-12,30,7,0,0.23
2023-05-14,32,10,0,0.31
2023-05-16,22,5,0,0.23
2023-05-18,28,9,0,0.32
2023-05-20,37,9,0,0.24
2023-05-22,22,5,0,0.23
2023-05-24,26,8,0,0.31
2023-05-26,36,10,0,0.28
2023-05-28,24,7,0,0.29
2023-05-30,27,5,0,0.19
2023-06-01,26,8,0,0.31
2023-06-03,27,7,0,0.26
2023-06-05,21,6,0,0.29
2023-06-07,36,11,0,0.31
2023-06-09,29,8,0,0.28
2023-06-09,22,7,0,0.32
2023-06-11,26,5,0,0.19
2023-06-13,27,8,0,0.3
2023-06-15,27,7,0,0.26
2023-06-17,26,6,0,0.23
2023-06-17,24,7,0,0.29
2023-06-17,26,6,0,0.23
2023-06-19,23,7,0,0.3
2023-06-21,22,5,0,0.23
2023-06-23,27,7,0,0.26
2023-06-25,22,5,0,0.23
2023-06-27,32,10,0,0.31
2023-06-29,23,7,0,0.3
2023-07-01,31,7,0,0.23
2023-07-03,25,8,0,0.32
2023-07-05,36,10,0,0.28
2023-07-07,29,6,0,0.21
2023-07-09,27,8,0,0.3
2023-07-11,25,5,0,0.2
2023-07-13,28,7,0,0.25
2023-07-15,30,6,0,0.2
