date,total,filter,remove,ratio
2021-12-26,23,20,0,0.87
2021-12-28,16,11,0,0.69
2021-12-30,21,16,0,0.76
2022-01-02,18,8,0,0.44
2022-01-08,23,19,0,0.83
2022-01-10,19,7,0,0.37
2022-01-12,21,17,0,0.81
2022-01-14,19,14,0,0.74
2022-01-16,18,11,1,0.61
2022-01-18,29,24,0,0.83
2022-01-20,19,14,3,0.74
2022-01-22,21,15,0,0.71
2022-01-24,24,20,0,0.83
2022-01-26,22,14,2,0.64
2022-01-28,19,11,0,0.58
2022-01-30,19,15,0,0.79
2022-02-02,24,11,0,0.46
2022-02-04,27,19,0,0.7
2022-02-06,26,18,0,0.69
2022-02-08,21,16,0,0.76
2022-02-10,35,26,0,0.74
2022-02-12,26,17,3,0.65
2022-02-14,18,14,0,0.78
2022-02-16,27,23,0,0.85
2022-02-18,21,9,4,0.43
2022-02-20,29,23,0,0.79
2022-02-22,16,12,4,0.75
2022-02-26,16,12,1,0.75
2022-02-28,31,23,0,0.74
2022-03-02,23,13,0,0.57
2022-03-04,17,13,0,0.76
2022-03-06,18,13,0,0.72
2022-03-08,22,18,0,0.82
2022-03-10,31,20,0,0.65
2022-03-12,27,16,0,0.59
2022-03-14,35,30,0,0.86
2022-03-16,20,16,0,0.8
2022-03-18,24,22,0,0.92
2022-03-20,25,18,0,0.72
2022-03-22,18,14,0,0.78
2022-03-24,16,8,2,0.5
2022-03-26,22,17,0,0.77
2022-03-28,23,16,0,0.7
2022-03-30,20,16,0,0.8
2022-04-02,23,13,0,0.57
2022-04-04,48,28,0,0.58
2022-04-06,31,25,2,0.81
2022-04-08,45,27,0,0.6
2022-04-10,37,22,0,0.59
2022-04-12,34,20,6,0.59
2022-04-14,32,21,0,0.66
2022-04-16,29,25,0,0.86
2022-04-18,50,42,0,0.84
2022-04-20,31,25,0,0.81
2022-04-22,54,30,0,0.56
2022-04-24,37,31,0,0.84
2022-04-26,58,52,4,0.9
2022-04-28,39,31,0,0.79
2022-04-30,36,31,0,0.86
2022-05-02,34,23,0,0.68
2022-05-04,48,29,1,0.6
2022-05-06,38,31,0,0.82
2022-05-08,40,28,0,0.7
2022-05-10,31,18,0,0.58
2022-05-12,46,31,0,0.67
2022-05-14,33,25,0,0.76
2022-05-16,30,22,0,0.73
2022-05-18,58,50,0,0.86
2022-05-20,33,26,0,0.79
2022-05-22,40,27,0,0.68
2022-05-24,31,28,0,0.9
2022-05-26,37,17,0,0.46
2022-06-02,39,24,0,0.62
